01 01 2017, 0.00, 8.84
02 01 2017, 0.00, 7.56
03 01 2017, 0.00, 6.79
04 01 2017, 0.00, 12.29
05 01 2017, 0.00, 6.30
06 01 2017, 0.00, 3.14
07 01 2017, 0.00, 4.53
08 01 2017, 0.00, 8.42
09 01 2017, 0.00, 6.58
10 01 2017, 0.00, 6.92
11 01 2017, 0.00, 5.40
12 01 2017, 0.00, 10.23
13 01 2017, 0.00, 10.85
14 01 2017, 4.12, 6.34
15 01 2017, 0.07, 6.59
16 01 2017, 0.00, 7.38
17 01 2017, 0.00, 5.23
18 01 2017, 0.00, 4.94
19 01 2017, 0.00, 9.58
20 01 2017, 0.00, 10.37
21 01 2017, 0.00, 9.44
22 01 2017, 0.00, 7.52
23 01 2017, 0.00, 4.71
24 01 2017, 0.00, 6.46
25 01 2017, 0.00, 9.35
26 01 2017, 0.00, 10.83
27 01 2017, 0.00, 6.62
28 01 2017, 0.00, 4.61
29 01 2017, 0.00, 6.09
30 01 2017, 0.00, 10.79
31 01 2017, 0.00, 15.53
01 02 2017, 0.00, 12.92
02 02 2017, 0.00, 9.14
03 02 2017, 0.00, 14.18
04 02 2017, 0.00, 17.60
05 02 2017, 0.00, 11.32
06 02 2017, 0.00, 11.18
07 02 2017, 0.00, 8.28
08 02 2017, 1.02, 5.77
09 02 2017, 0.00, 5.10
10 02 2017, 0.00, 7.94
11 02 2017, 0.00, 10.41
12 02 2017, 0.00, 9.25
13 02 2017, 0.00, 8.83
14 02 2017, 0.00, 5.07
15 02 2017, 0.00, 8.67
16 02 2017, 0.00, 8.96
17 02 2017, 0.00, 15.76
18 02 2017, 1.13, 10.92
19 02 2017, 0.25, 7.54
20 02 2017, 0.00, 11.91
21 02 2017, 0.00, 19.73
22 02 2017, 0.00, 10.10
23 02 2017, 0.00, 7.54
24 02 2017, 9.92, 11.39
25 02 2017, 0.00, 6.22
26 02 2017, 0.00, 14.86
27 02 2017, 0.00, 11.28
28 02 2017, 0.00, 10.56
01 03 2017, 0.00, 10.32
02 03 2017, 0.24, 10.87
03 03 2017, 0.00, 10.70
04 03 2017, 0.00, 10.93
05 03 2017, 0.00, 13.52
06 03 2017, 49.63, 9.39
07 03 2017, 0.00, 12.50
08 03 2017, 1.06, 9.28
09 03 2017, 1.73, 15.62
10 03 2017, 5.81, 11.90
11 03 2017, 4.34, 8.63
12 03 2017, 0.00, 6.08
13 03 2017, 0.19, 5.41
14 03 2017, 0.00, 9.06
15 03 2017, 0.00, 16.64
16 03 2017, 0.00, 8.36
17 03 2017, 0.00, 9.26
18 03 2017, 0.00, 10.68
19 03 2017, 0.00, 6.12
20 03 2017, 0.00, 18.54
21 03 2017, 0.00, 19.52
22 03 2017, 0.00, 10.58
23 03 2017, 0.00, 13.20
24 03 2017, 0.00, 10.32
25 03 2017, 0.00, 8.71
26 03 2017, 0.00, 11.68
27 03 2017, 0.00, 11.72
28 03 2017, 0.00, 11.42
29 03 2017, 0.00, 13.51
30 03 2017, 14.52, 15.74
31 03 2017, 0.00, 20.45
01 04 2017, 0.00, 13.21
02 04 2017, 0.00, 16.59
03 04 2017, 0.00, 17.34
04 04 2017, 13.50, 11.81
05 04 2017, 0.00, 18.59
06 04 2017, 1.15, 10.54
07 04 2017, 0.00, 17.15
08 04 2017, 1.36, 14.99
09 04 2017, 15.05, 14.36
10 04 2017, 0.00, 8.46
11 04 2017, 0.00, 8.99
12 04 2017, 0.00, 16.62
13 04 2017, 4.71, 15.45
14 04 2017, 1.09, 9.96
15 04 2017, 0.00, 13.51
16 04 2017, 0.00, 7.06
17 04 2017, 6.97, 10.65
18 04 2017, 16.15, 9.63
19 04 2017, 0.00, 6.86
20 04 2017, 0.00, 5.19
21 04 2017, 0.00, 11.96
22 04 2017, 5.41, 16.50
23 04 2017, 14.48, 9.58
24 04 2017, 0.00, 9.13
25 04 2017, 0.00, 12.94
26 04 2017, 0.00, 8.02
27 04 2017, 3.69, 10.35
28 04 2017, 0.00, 10.04
29 04 2017, 12.39, 10.26
30 04 2017, 0.00, 8.40
01 05 2017, 0.00, 7.75
02 05 2017, 0.00, 12.89
03 05 2017, 0.00, 15.06
04 05 2017, 0.00, 19.81
05 05 2017, 0.00, 16.88
06 05 2017, 6.83, 19.91
07 05 2017, 0.00, 21.09
08 05 2017, 0.00, 14.32
09 05 2017, 0.00, 6.47
10 05 2017, 0.00, 10.11
11 05 2017, 0.00, 14.16
12 05 2017, 0.00, 11.08
13 05 2017, 0.00, 23.55
14 05 2017, 209.19, 23.10
15 05 2017, 38.66, 20.16
16 05 2017, 0.00, 13.16
17 05 2017, 0.00, 28.89
18 05 2017, 0.00, 26.09
19 05 2017, 0.00, 23.22
20 05 2017, 23.08, 23.15
21 05 2017, 0.00, 19.27
22 05 2017, 0.00, 15.09
23 05 2017, 0.00, 18.90
24 05 2017, 123.17, 25.85
25 05 2017, 3.46, 18.00
26 05 2017, 0.00, 17.79
27 05 2017, 0.00, 18.99
28 05 2017, 0.00, 14.85
29 05 2017, 87.87, 30.99
30 05 2017, 59.02, 33.68
31 05 2017, 432.23, 32.71
01 06 2017, 0.00, 7.80
02 06 2017, 0.00, 10.25
03 06 2017, 0.00, 12.24
04 06 2017, 22.56, 34.50
05 06 2017, 0.00, 15.84
06 06 2017, 46.89, 25.68
07 06 2017, 9.27, 23.92
08 06 2017, 36.26, 19.91
09 06 2017, 0.00, 26.42
10 06 2017, 0.00, 22.44
11 06 2017, 0.00, 25.26
12 06 2017, 0.00, 34.91
13 06 2017, 11.54, 19.34
14 06 2017, 5.04, 17.52
15 06 2017, 0.00, 21.95
16 06 2017, 0.00, 32.42
17 06 2017, 7.73, 18.50
18 06 2017, 0.00, 22.14
19 06 2017, 0.00, 27.62
20 06 2017, 0.00, 24.11
21 06 2017, 0.00, 21.73
22 06 2017, 0.00, 21.07
23 06 2017, 7.58, 35.47
24 06 2017, 0.00, 35.70
25 06 2017, 2.27, 27.88
26 06 2017, 84.31, 27.67
27 06 2017, 1.01, 19.62
28 06 2017, 0.00, 29.76
29 06 2017, 148.65, 33.25
30 06 2017, 10.45, 36.18
01 07 2017, 3.34, 26.23
02 07 2017, 7.21, 33.08
03 07 2017, 35.69, 15.94
04 07 2017, 34.21, 26.56
05 07 2017, 0.00, 21.84
06 07 2017, 0.00, 21.91
07 07 2017, 0.00, 26.42
08 07 2017, 288.78, 32.74
09 07 2017, 45.69, 24.67
10 07 2017, 0.00, 32.89
11 07 2017, 78.10, 34.60
12 07 2017, 122.48, 23.81
13 07 2017, 0.19, 29.61
14 07 2017, 1.21, 12.94
15 07 2017, 1.36, 18.93
16 07 2017, 41.72, 21.48
17 07 2017, 0.00, 36.25
18 07 2017, 0.00, 20.69
19 07 2017, 0.00, 23.25
20 07 2017, 38.19, 33.57
21 07 2017, 373.78, 33.81
22 07 2017, 45.78, 29.61
23 07 2017, 5.75, 30.55
24 07 2017, 115.05, 23.83
25 07 2017, 140.37, 36.21
26 07 2017, 13.79, 25.44
27 07 2017, 0.45, 31.47
28 07 2017, 340.24, 28.13
29 07 2017, 29.03, 21.51
30 07 2017, 0.00, 31.69
31 07 2017, 66.34, 33.92
01 08 2017, 73.91, 32.75
02 08 2017, 5.75, 38.16
03 08 2017, 28.84, 38.35
04 08 2017, 14.89, 25.28
05 08 2017, 11.57, 22.43
06 08 2017, 1.96, 21.05
07 08 2017, 0.00, 13.97
08 08 2017, 0.00, 16.21
09 08 2017, 0.00, 36.54
10 08 2017, 0.00, 34.91
11 08 2017, 0.00, 42.46
12 08 2017, 10.33, 27.03
13 08 2017, 0.00, 22.65
14 08 2017, 12.10, 21.85
15 08 2017, 0.00, 18.69
16 08 2017, 31.08, 37.32
17 08 2017, 66.04, 22.71
18 08 2017, 126.31, 37.88
19 08 2017, 4.33, 40.66
20 08 2017, 19.80, 19.38
21 08 2017, 19.08, 23.77
22 08 2017, 4.28, 19.74
23 08 2017, 2.30, 16.76
24 08 2017, 0.00, 15.31
25 08 2017, 86.40, 26.30
26 08 2017, 0.00, 21.32
27 08 2017, 478.34, 36.22
28 08 2017, 0.14, 19.03
29 08 2017, 0.00, 19.53
30 08 2017, 0.00, 25.44
31 08 2017, 0.00, 38.17
01 09 2017, 0.00, 30.73
02 09 2017, 2.99, 23.03
03 09 2017, 1.01, 16.94
04 09 2017, 42.98, 18.70
05 09 2017, 0.00, 16.38
06 09 2017, 0.00, 21.86
07 09 2017, 6.75, 19.80
08 09 2017, 4.52, 19.82
09 09 2017, 0.00, 28.76
10 09 2017, 0.00, 26.67
11 09 2017, 0.00, 15.72
12 09 2017, 1.43, 15.55
13 09 2017, 0.00, 17.32
14 09 2017, 0.00, 17.88
15 09 2017, 2.48, 17.29
16 09 2017, 1.71, 15.82
17 09 2017, 29.74, 16.25
18 09 2017, 71.74, 17.17
19 09 2017, 3.71, 15.09
20 09 2017, 37.92, 15.94
21 09 2017, 0.00, 18.29
22 09 2017, 15.27, 17.69
23 09 2017, 0.00, 18.71
24 09 2017, 0.00, 24.70
25 09 2017, 68.05, 28.25
26 09 2017, 72.28, 22.50
27 09 2017, 0.00, 25.41
28 09 2017, 0.00, 26.89
29 09 2017, 2.73, 26.04
30 09 2017, 0.00, 18.41
