14 06 2017, 0.00, 18.89
15 06 2017, 0.00, 19.63
16 06 2017, 146.74, 21.02
17 06 2017, 0.00, 20.63
18 06 2017, 0.00, 20.61
19 06 2017, 36.60, 27.25
20 06 2017, 84.06, 26.47
21 06 2017, 0.00, 15.68
22 06 2017, 0.00, 24.76
23 06 2017, 5.53, 24.71
24 06 2017, 3.67, 32.00
25 06 2017, 160.07, 33.18
26 06 2017, 0.00, 20.95
27 06 2017, 0.00, 22.83
28 06 2017, 131.23, 33.94
29 06 2017, 293.45, 40.84
30 06 2017, 169.47, 28.17
01 07 2017, 158.65, 28.95
02 07 2017, 24.49, 22.42
03 07 2017, 11.31, 18.30
04 07 2017, 0.00, 12.52
05 07 2017, 0.00, 26.26
06 07 2017, 34.19, 22.22
07 07 2017, 83.03, 34.30
08 07 2017, 335.88, 31.36
09 07 2017, 0.00, 34.75
10 07 2017, 44.08, 40.95
11 07 2017, 5.52, 29.80
12 07 2017, 37.50, 32.92
13 07 2017, 2.77, 13.14
14 07 2017, 11.64, 15.71
15 07 2017, 235.12, 18.64
16 07 2017, 20.69, 24.16
17 07 2017, 0.00, 19.75
18 07 2017, 0.00, 19.94
19 07 2017, 11.72, 27.64
20 07 2017, 404.18, 37.81
21 07 2017, 489.39, 27.72
22 07 2017, 743.07, 33.97
23 07 2017, 885.27, 35.93
24 07 2017, 142.96, 26.71
25 07 2017, 0.00, 31.76
26 07 2017, 41.78, 32.28
27 07 2017, 22.62, 25.00
28 07 2017, 42.10, 21.09
29 07 2017, 13.87, 32.29
30 07 2017, 754.55, 36.73
31 07 2017, 294.22, 28.49
01 08 2017, 360.96, 35.11
02 08 2017, 188.89, 32.54
03 08 2017, 138.64, 37.92
04 08 2017, 66.73, 32.92
05 08 2017, 16.36, 30.53
06 08 2017, 9.64, 16.24
07 08 2017, 0.00, 15.65
08 08 2017, 0.00, 15.92
09 08 2017, 62.41, 27.04
10 08 2017, 0.00, 32.78
11 08 2017, 2.38, 37.44
12 08 2017, 15.73, 27.27
13 08 2017, 93.32, 25.13
14 08 2017, 47.75, 20.64
15 08 2017, 0.00, 26.64
16 08 2017, 80.23, 37.39
17 08 2017, 73.71, 26.19
18 08 2017, 547.02, 38.50
19 08 2017, 13.63, 23.67
20 08 2017, 76.93, 17.48
21 08 2017, 54.73, 21.92
22 08 2017, 42.81, 14.49
23 08 2017, 0.00, 17.19
24 08 2017, 0.00, 30.56
25 08 2017, 11.24, 23.16
26 08 2017, 0.00, 34.66
27 08 2017, 21.16, 19.06
28 08 2017, 5.87, 18.81
29 08 2017, 0.00, 21.56
30 08 2017, 13.58, 26.88
31 08 2017, 751.07, 41.01
01 09 2017, 62.39, 26.06
02 09 2017, 0.00, 16.20
03 09 2017, 75.72, 19.61
04 09 2017, 13.25, 16.39
05 09 2017, 0.00, 22.42
06 09 2017, 242.84, 33.37
07 09 2017, 165.54, 18.81
08 09 2017, 13.71, 26.49
09 09 2017, 0.00, 28.67
10 09 2017, 28.02, 25.27
11 09 2017, 24.17, 16.68
12 09 2017, 107.29, 20.90
13 09 2017, 0.00, 20.12
14 09 2017, 115.11, 22.99
15 09 2017, 40.27, 17.22
16 09 2017, 0.00, 17.35
17 09 2017, 99.10, 16.53
18 09 2017, 20.86, 14.77
19 09 2017, 36.52, 15.36
20 09 2017, 78.13, 17.62
21 09 2017, 58.70, 20.87
22 09 2017, 7.50, 14.13
23 09 2017, 0.00, 25.61
24 09 2017, 62.16, 28.10
25 09 2017, 22.36, 24.60
26 09 2017, 26.80, 23.22
27 09 2017, 0.00, 24.64
28 09 2017, 0.00, 24.27
29 09 2017, 0.00, 21.06
30 09 2017, 0.00, 15.46
01 10 2017, 0.00, 25.99
02 10 2017, 0.00, 27.00
04 10 2017, 53.89, 17.66
05 10 2017, 0.00, 27.39
06 10 2017, 118.79, 17.36
07 10 2017, 44.43, 15.80
08 10 2017, 55.20, 10.84
09 10 2017, 0.00, 9.10
10 10 2017, 0.40, 22.04
11 10 2017, 42.64, 21.72
12 10 2017, 81.19, 16.77
13 10 2017, 8.09, 17.09
14 10 2017, 0.37, 33.48
15 10 2017, 0.00, 24.40
16 10 2017, 0.00, 15.40
17 10 2017, 0.00, 17.21
18 10 2017, 0.00, 18.56
19 10 2017, 0.00, 16.58
20 10 2017, 0.00, 21.79
21 10 2017, 0.00, 17.22
22 10 2017, 89.85, 14.27
23 10 2017, 2.13, 17.06
24 10 2017, 15.52, 18.08
25 10 2017, 0.19, 24.77
26 10 2017, 5.09, 14.56
27 10 2017, 19.45, 18.22
28 10 2017, 14.25, 17.59
29 10 2017, 19.97, 13.61
30 10 2017, 75.17, 8.12
31 10 2017, 24.47, 14.73
01 11 2017, 0.00, 22.98
02 11 2017, 4.24, 15.55
03 11 2017, 2.25, 11.75
04 11 2017, 0.00, 15.41
05 11 2017, 0.00, 23.07
06 11 2017, 0.00, 13.86
07 11 2017, 0.00, 14.02
08 11 2017, 0.00, 17.31
09 11 2017, 0.00, 11.39
10 11 2017, 0.20, 16.75
11 11 2017, 4.66, 10.58
12 11 2017, 0.00, 8.58
13 11 2017, 0.00, 9.47
14 11 2017, 0.00, 12.60
15 11 2017, 0.00, 14.43
16 11 2017, 8.54, 12.55
17 11 2017, 11.98, 6.56
18 11 2017, 0.00, 8.10
19 11 2017, 1.60, 11.63
20 11 2017, 89.95, 8.93
21 11 2017, 0.00, 17.39
22 11 2017, 0.00, 20.90
23 11 2017, 0.00, 9.04
24 11 2017, 0.00, 20.53
25 11 2017, 0.00, 18.20
26 11 2017, 0.00, 7.82
27 11 2017, 0.00, 9.19
28 11 2017, 4.06, 12.57
29 11 2017, 0.00, 7.48
30 11 2017, 0.00, 9.91
01 12 2017, 0.00, 8.82
02 12 2017, 0.00, 8.26
03 12 2017, 0.00, 4.24
04 12 2017, 0.00, 8.41
05 12 2017, 0.47, 15.67
06 12 2017, 0.00, 18.38
07 12 2017, 0.00, 5.58
08 12 2017, 102.21, 8.75
09 12 2017, 0.00, 9.41
10 12 2017, 0.87, 6.42
11 12 2017, 0.00, 12.76
12 12 2017, 8.82, 9.51
13 12 2017, 0.00, 5.95
14 12 2017, 0.00, 10.63
15 12 2017, 0.00, 11.09
16 12 2017, 0.09, 7.82
17 12 2017, 8.00, 7.56
18 12 2017, 0.00, 5.27
19 12 2017, 0.00, 10.65
20 12 2017, 0.00, 8.70
21 12 2017, 0.13, 12.49
22 12 2017, 1.48, 11.45
23 12 2017, 0.00, 15.83
24 12 2017, 0.00, 20.59
25 12 2017, 0.00, 9.85
26 12 2017, 0.00, 11.28
27 12 2017, 0.00, 10.47
28 12 2017, 0.00, 13.34
29 12 2017, 0.00, 7.35
30 12 2017, 0.00, 9.68
31 12 2017, 0.00, 22.77
